doi,title,authors
10.1002/chin.200549225,Magneto-Superconductivity of Rutheno-Cuprates,V P S Awana
10.1002/chin.200621216,Neutron Scattering Studies of Antiferromagnetic Correlations in Cuprates,John M Tranquada
10.1002/chin.200626199,Ferromagnetic and Superconducting Instabilities in Graphite,"Y Kopelevich, S Moehlecke, R R Da Silva"
10.1002/chin.200643214,Magnetism and Superconductivity of Heavy Fermion Matter,"Jacques Flouquet, Georg Knebel, Daniel Braithwaite, D Aoki, Jean-Pascal Brison, Frederic Hardy, Andrew Huxley, Stephane Raymond, Bernard Salce, Ilya Sheikin"
10.1002/chin.200702273,Magnetic Penetration Depth in Unconventional Superconductors,"Ruslan Prozorov, Russell W Giannetta"
10.1002/chin.201547217,ChemInform Abstract: Magnetic Neutron Scattering Studies on the Fe-Based Superconductor System Fe1+yTe1-xSex,Jinsheng Wen
10.1002/chin.201621003,ChemInform Abstract: Structure and Composition of the 200 K-Superconducting Phase of H2S at Ultrahigh Pressure: The Perovskite (SH-)(H3S+).,"Elijah E Gordon, Ke Xu, Hongjun Xiang, Annette Bussmann-Holder, Reinhard K Kremer, Arndt Simon, Juergen Koehler, Myung-Hwan Whangbo"
10.1002/chin.201630295,ChemInform Abstract: Magnetic Mechanisms of Pairing in Strongly Correlated Electron System of Copper Oxides,"S G Ovchinnikov, I A Makarov, E I Shneyder, Yu. N Togushova, V A Gavrichkov, M M Korshunov"
10.1002/cvde.200706636,Growth of Epitaxial MgB2 Thick Films with Columnar Structures by Using HPCVD,"W K Seong, Ji Y Huh, W N Kang, J-W Kim, Y-S Kwon, N-K Yang, J-G Park"
10.1002/cvde.201106935,Effect of SiC-Impurity Layer and Growth Temperature on MgB2 Superconducting Tapes Fabricated by HPCVD,"Mahipal Ranot, Won Kyung Seong, Soon-Gil Jung, Won Nam Kang, Jinho J Joo, Chan-Joong Kim, Byung-Hyuk Jun, Sangjun Oh"
10.1002/mma.5623,"Phase‐fitted, six‐step methods for solving x ′ ′ = f ( t , x )","Chenglian Liu, Chieh‐wen Hsu, T E Simos, C H Tsitouras"
10.1002/mop.22001,Microwave harmonic emission in MgB2 superconductor: Comparison with YBA2CU3O7,"Aurelio Agliolo Gallitto, G Bonsignore, E Di Gennaro, G Giunchi, M Li Vigni, P Manfrinetti"
10.1002/pssa.200567003,Feshbach shape resonance for highTcsuperconductivity in superlattices of nanotubes,Antonio Bianconi
10.1002/pssa.201026513,"Pressure effects in PrT2B2C (T = Co, Ni, Pt): Applied and chemical pressure","R Falconi, A Durán, M Núñez-Regueiro, R Escudero"
10.1002/pssa.2211460241,The superconductivity of sodium-doped Bi2Sr2CaCu2O8+y,"Y Yu, X Jin, D X Cai, X X Yao, C Hu, K Y Ding, D Feng"
10.1002/pssb.200301672,Spin triplet superconductivity in Sr2RuO4,"Karol I Wysokiński, G Litak, J F Annett, B L Györffy"
10.1002/pssb.200404952,Superconductive excitations and the infrared vibronic spectra of BSCCO,J C Phillips
10.1002/pssb.200404955,"Relationship between and implications of the isotope and pressure effects on transition temperature, penetration depths and conductivities",T Schneider
10.1002/pssb.200440066,Use of the modified Ginzburg-Landau equations in high temperature superconductors,"L N Shehata, H M Taha"
10.1002/pssb.200460037,High-Tc cuprate superconductivity in a nutshell,"Hyekyung Won, Stephan Haas, David Parker, Kazumi Maki"
10.1002/pssb.200490005,Horizontal line nodes in superconducting Sr2RuO4,"G Litak, J F Annett, B L Györffy, K I Wysokiński"
10.1002/pssb.200562443,"Gossamer superconductivity, new paradigm?","Hyekyung Won, Stephan Haas, Kazumi Maki, David Parker, Balazs Dora, Attila Virosztek"
10.1002/pssb.200562472,Competition of ferromagnetism and superconductivity in Sc3InB,"B Wiendlocha, J Tobola, S Kaprzyk, D Fruchart, J Marcus"
10.1002/pssb.200669120,High-Tc superconductivity in entirely end-bonded multi-walled carbon nanotubes,"I Takesue, J Haruyama, N Kobayashi, N Murata, S Chiashi, S Maruyama, T Sugai, H Shinohara"
10.1002/pssb.200945216,Elastic and electronic properties of the new perovskite-like superconductor ZnNNi3in comparison with MgCNi3,"I R Shein, V V Bannikov, A L Ivanovskii"
10.1002/pssb.200983076,Field-induced quantum critical point in the pressure-induced superconductor CeRhIn5,"Tuson Park, Y Tokiwa, F Ronning, H Lee, E D Bauer, R Movshovich, J D Thompson"
10.1002/pssb.201046163,Elastic properties of superconducting MAX phases from first-principles calculations,"Igor R Shein, Alexander L Ivanovskii"
10.1002/pssb.201200142,Superconductivity in metal-coated graphene,"Matteo Calandra, Gianni Profeta, Francesco Mauri"
10.1002/pssb.201248032,Characterization of the high-pressure superconductivity in thePnmaphase of calcium,"R Szczęśniak, D Szczęśniak"
10.1002/pssb.201300005,Quantum phase transitions in heavy fermion metals and Kondo insulators,"Qimiao Si, Silke Paschen"
10.1002/pssb.201349087,Description of the superconducting state in the high-pressure fcc phase of platinum-hydride,"R Szcześniak, D Szcześniak, K M Huras"
10.1002/pssb.201600148,Optical properties of superconducting EuFe2(As1-xPx)2,"David Neubauer, Artem V Pronin, Sina Zapf, Johannes Merz, Hirale S Jeevan, Wen-He Jiao, Philipp Gegenwart, Guang-Han Cao, Martin Dressel"
10.1002/pssb.201600153,Superconductivity-enhanced nematicity and “s+d” gap symmetry in Fe(Se1−xSx),"Liran Wang, Frédéric Hardy, Thomas Wolf, Peter Adelmann, Rainer Fromknecht, Peter Schweiss, Christoph Meingast"
10.1002/pssb.201600154,Effect of Co doping and hydrostatic pressure on SrFe2As2,"E Lengyel, M Kumar, W Schnelle, A Leithe-Jasper, M Nicklas"
10.1002/pssb.201600159,Defect states in LiFeAs as seen by low-temperature scanning tunneling microscopy and spectroscopy,"R Schlegel, P K Nag, D Baumann, R Beck, S Wurmehl, B Büchner, C Hess"
10.1002/pssb.201600163,Superconductivity and Dirac fermions in 112-phase pnictides,"Soumya J Ray, Lambert Alff"
10.1002/pssb.201600164,Ab initioperspective on structural and electronic properties of iron-based superconductors,"Daniel Guterding, Steffen Backes, Milan Tomić, Harald O Jeschke, Roser Valentí"
10.1002/pssb.201600217,Towards carbon nanotube growth into superconducting microwave resonator geometries,"S Blien, K J G Götz, P L Stiller, T Mayer, T Huber, O Vavra, A K Hüttel"
10.1002/pssb.201600350,Evolution of superconducting gap anisotropy in hole-doped 122 iron pnictides,"Christian Platt, Gang Li, Mario Fink, Werner Hanke, Ronny Thomale"
10.1002/pssb.201700006,Constraints on the total coupling strengthto bosons in the iron based superconductors,"Stefan-Ludwig Drechsler, Steve Johnston, Vadim Grinenko, Jan M Tomczak, Helge Rosner"
10.1002/pssc.200460800,Influence of disorder onHc2-anisotropy and flux pinning in MgB2,M Eisterer
10.1002/pssc.200567015,New world of Gossamer superconductivity,"Kazumi Maki, Stephan Haas, David Parker, Hyekyung Won, Balazs Dora, Attila Virosztek"
10.1002/pssr.200802125,Large Seebeck coefficients in iron-oxypnictides: a new route towards n-type thermoelectric materials,"Loreynne Pinsard-Gaudart, David Bérardan, Julien Bobroff, Nita Dragoe"
10.1002/pssr.201409254,Bulk superconductivity in single-phase Bi3O2S3,"Jifeng Shao, Zhongheng Liu, Xiong Yao, Li Pi, Shun Tan, Changjin Zhang, Yuheng Zhang"
10.1002/pssr.201409418,Fermi liquid breakdown and evidence for superconductivity in YFe2Ge2,"Y Zou, Z Feng, P W Logg, J Chen, G Lampronti, F M Grosche"
10.1002/pssr.201600056,Superconductivity of Ta34Nb33Hf8Zr14Ti11high entropy alloy from first principles calculations,"K Jasiewicz, B Wiendlocha, P Korbeń, S Kaprzyk, J Tobola"
10.1002/qua.24637,The chemical physics of unconventional superconductivity,"Sumitendra Mazumdar, Rudolf Torsten Clay"
10.1002/qute.201800112,Exploring Topological Superconductivity in Topological Materials,"Yupeng Li, Zhu‐an Xu"
10.1002/(sici)1521-3889(199909)8:6<441::aid-andp441>3.0.co;2-c,Electronic Raman scattering and phonon self-energy effects in theR-123 system: Signatures of gap and pseudogap,Andreas Bock
10.1002/(sici)1521-3951(199811)210:1<159::aid-pssb159>3.0.co;2-j,Cluster Phase Transition in Spin Glass Systems and Mechanism of High-Tc Superconductivity,J K Srivastava
10.1002/(sici)1521-3951(199909)215:1<495::aid-pssb495>3.0.co;2-x,Electron-Phonon Coupling Deduced from Phonon Line Shapes,"A Bock, S Ostertun, K-O Subke"
10.1002/(sici)1521-3951(199909)215:1<531::aid-pssb531>3.0.co;2-w,Critical Doping in Overdoped High-Tc Superconductors: a Quantum Critical Point?,"J L Tallon, J W Loram, G V M Williams, J R Cooper, I R Fisher, J D Johnson, M P Staines, C Bernhard"
10.1002/(sici)1521-3951(200105)225:1<157::aid-pssb157>3.0.co;2-l,Anomalous Larmour Frequency Dependence of Proton Spin-Lattice Relaxation Time (T1) in the Ferroelectric Glycine Phosphite,"R Kannan, K P Ramesh, J Ramakrishna"
10.1006/spmi.1999.0712,Multiple Andreev reflections in diffusive SNS structures,"Rafael Taboryski, Jonatan Kutchinsky, Jørn Bindslev Hansen, Morten Wildt, Claus B Sørensen, Poul Erik Lindelof"
10.1006/spmi.1999.0718,"Proximity effect, Andreev reflections, and charge transport in mesoscopic superconducting/semiconducting heterostructures","A Jacobs, R Kümmel, H Plehn"
10.1006/spmi.1999.0751,Superflow in d-wave superconductors,"J Ferrer, M A González-Alvarez, J Sánchez-Cañizares"
10.1007/0-306-47081-0_20,From Magnons to the Resonance Peak: Spin Dynamics in High-TC Superconducting Cuprates by Inelastic Neutron Scattering,Philippe Bourges
10.1007/0-306-47100-0_16,Quantum Interference Mechanism of the Stripe-Phase Ordering,Sergei I Mukhin
10.1007/0-306-47100-0_38,Magnetic and Charge Fluctuations in High-Tc Superconductors,"H A Mook, F Dogan, B C Chakoumakos"
10.1007/0-306-47113-2_24,,"A Bianconi, D Di Castro, N L Saini, G Bianconi"
10.1007/0-306-48063-8,High-Temperature Superconductivity in Cuprates,Andrei Mourachkine
10.1007/0-306-48063-8,High-Temperature Superconductivity in Cuprates,"B Keimer, S A Kivelson, M R Norman, S Uchida, J Zaanen"
10.1007/1-4020-2396-0_24,Point-Contact Spectroscopy of Two-Band Superconductor MgB2,"I K Yanson, Yu. G Naidyuk"
10.1007/1-4020-3085-1_10,Nuclear Spin Relaxation and Incommensurate Magnetism in Doped Cuprates,"L P Gor’kov, G B Teitel’baum"
10.1007/1-4020-3085-1_4,Sum Rules and Energy Scales in BiSrCaCuO,"A F Santander-Syro, R P S M Lobo, N Bontemps"
10.1007/1-4020-3085-1_5,"Optical Properties of (Pr,Ce)2CuO4","A Zimmers, N Bontemps, R P S M Lobo, C P Hill, M C Barr, R L Greene, C C Homes, A J Millis"
10.1007/1-4020-3989-1_6,"Symmetry Breaking, Non-Adiabatic Electron-Phonon Coupling and Nuclear Kinetic Effect on Superconductivity of MgB2","Pavol Baňacký, Jozef Noga"
10.1007/1-4020-4646-4_6,MAGNETIC PROPERTIES OF CUPRATE PEROVSKITES,A Sherman
10.1007/1-4020-7984-2_3,Classical and Quantum Magnetization Reversal Studied in Nanometer-Sized Particles and Clusters,"Wolfgang Wernsdorfer, Lab L Néel, A Wiley, New York, • Chichester, Weinheim • Brisbane, Singapore • Toronto"
10.1007/3-540-26657-7_26,Phasediagram and Scaling Properties of the Projected SO(5) Model in Three Dimensions,"Martin Jöstingmeier, Ansgar Dorneich, Enrico Arrigoni, Werner Hanke, Shou-Cheng Zhang"
10.1007/3-540-27284-4_24,Magnetic and Charge Correlations in La2−x−yNdySrxCuO3: Raman Scattering Study,"A Gozar, Seizi Koomiya, Yoichi Ando, G Blumberg"
10.1007/3-540-27294-1_11,Heterogeneous Magnetic Superconducting Systems,Serkan Erdin
10.1007/3-540-27294-1_12,High Pressure Effects on Superconductivity,"B Lorenz, C W Chu"
10.1007/3-540-45649-x_9,Electronic Phases of Low-Dimensional Conductors,C Bourbonnais
10.1007/3-540-45814-x_12,"Magnetism and Superconductivity in Ru1−x Sr2RECu2+x O8−d (RE=Gd, Eu) and RuSr2Gd1−y CeyCu2O8 Compounds","P W Klamut, B Dabrowski, S M Mini, S Kolesnik, M Maxwell, J Mais, A Shengelaya, R Khazanov, I Savic, H Keller, C Sulkowski, D Wlosewicz, M Matusiak, A Wisniewski, R Puzniak, I Fita"
10.1007/3-540-45837-9_7,Simulation of Models for the Glass Transition: Is There Progress?,"Kurt Binder, Jörg Baschnagel, Walter Kob, Wolfgang Paul"
10.1007/3-540-68133-7_11,Dressing of the Charge Carriers in High-T c Superconductors,"Jörg Fink, Sergey Borisenko, Alexander Kordyuk, Andreas Koitzsch, Jochen Geck, Volodymyr Zabolotnyy, Martin Knupfer, Bernd Büchner, Helmut Berger"
10.1007/978-0-387-68734-6_15,How Optimal Inhomogeneity Produces High Temperature Superconductivity,"Steven A Kivelson, Eduardo Fradkin"
10.1007/978-0-387-68734-6_3,Angle-Resolved Photoemission Spectroscopy on Electronic Structure and lectron–Phonon Coupling in Cuprate Superconductors,"X J Zhou, T Cuk, T Devereaux, N Nagaosa, Z-X Shen"
10.1007/978-0-387-68734-6_8,What Tc can Teach About Superconductivity,"Theodore H Geballe, Gertjan Koster"
10.1007/978-1-4020-2093-3_10,Arguments for Quasi-One-Dimensional Room Temperature Superconductivity in Carbon Nanotubes,Guo-Meng Zhao
10.1007/978-1-4020-3463-3_8,Optical signatures of electron correlations in the cuprates,D Van Der Marel
10.1007/978-1-4020-3463-3_9,Charge inhomogeneities in strongly correlated systems,"A H Castro Neto, C Morais Smith"
10.1007/978-1-4020-6348-0_7,Superconducting Polarons and Bipolarons,A S Alexandrov
10.1007/978-1-4615-3338-2_37,Dynamic Jahn-Teller Theory of High-Tc Superconductivity,"K H Johnson, D P Clougherty, M E Mchenry"
10.1007/978-1-4899-2379-0_5,Ac Susceptibility Studies of Superconducting Properties Under High Hydrostatic Pressure,"J S Schilling, J Diederichs, S Klotz, R Sieburger"
10.1007/978-3-319-11254-1_8,Itinerant Electron Scenario,Andrey Chubukov
10.1007/978-3-319-39355-1_6,Flat Bands as a Route to High-Temperature Superconductivity in Graphite,"Tero T Heikkilä, Grigory E Volovik"
10.1007/978-3-319-44680-6_21,Understanding Novel Superconductors with Ab Initio Calculations,Lilia Boeri
10.1007/978-3-319-52675-1_12,Isotope Effect on the Transition Temperature T c in Fe-Based Superconductors: The Current Status,Rustem Khasanov
10.1007/978-3-319-52675-1_24,Thermal and Quantum Critical Properties of Overdoped La2−x Sr x CuO4,Toni Schneider
10.1007/978-3-319-52675-1_2,The Search for Higher Tc in Houston,"C W Chu, Alex Mueller, Georg Bednorz"
10.1007/978-3-319-52675-1_5,Encounters with Alex,Kristian Fossheim
10.1007/978-3-319-60531-9_2,The Rare-Earth Nickelates,"Matthias Hepting, Mark P M Dean, Wei-Sheng Lee"
10.1007/978-3-540-71023-3_14,Two-Gap Superconductivity in the Cuprate Superconductor La1.83Sr0.17CuO4,"Rustem Khasanov, A Shengelaya, A Bussmann-Holder, H Keller"
10.1007/978-3-540-71023-3_17,Carbon Based Superconductors,"Reinhard K Kremer, Jun S Kim, Arndt Simon"
10.1007/978-3-540-71023-3_23,"Quantum Superconductor-Metal Transition in Al, C doped MgB2 and Overdoped Cuprates?",T Schneider
10.1007/978-3-540-73253-2_10,Fluctuation Phenomena in Superconductors,"Anatoly I Larkin, Andrei A Varlamov"
10.1007/978-3-540-73253-2_11,Universal Properties of Cuprate Superconductors: Evidence and Implications,"Toni Schneider, Springer-Verlag Berlin, Ed K H Bennemann, J B Ketterson"
10.1007/978-3-540-73253-2_20,Organic Superconductors,"Michael Lang, Jens Müller"
10.1007/978-3-540-73253-2_21,Concepts in High Temperature Superconductivity,"E W Carlson, V J Emery, S A Kivelson, D Orgad"
10.1007/978-3-540-73253-2_22,A Spin Fluctuation Model for d-Wave Superconductivity,"Andrey V Chubukov, David Pines, Jörg Schmalian"
10.1007/978-3-540-73253-2_3,Electron-Phonon Superconductivity,"F Marsiglio, J P Carbotte"
10.1007/978-3-540-74325-5_26,"59Co, 23Na, and 1H NMR Studies of Double-Layer Hydrated Superconductors NaxCoO2 · yH2O","Y Itoh, H Ohta, C Michioka, M Kato, K Yoshimura"
10.1007/978-3-540-76672-8_12,Interacting Electrons in Quasi-One-Dimensional Organic Superconductors,"C Bourbonnais, D Jérome"
10.1007/978-3-540-76672-8_19,Unconventional Density Waves in Organic Conductors and in Superconductors,"Kazumi Maki, Balázs Dóra, Attila Virosztek"
10.1007/978-3-642-00712-5_5,Superconductivity in Cuprates,"Z X Shen, A Lanzara, N Nagaosa"
10.1007/978-3-642-00712-5_5,Superconductivity in Cuprates,"Z. -X Shen, A Lanzara, N Nagaosa"
10.1007/978-3-642-22652-6_1,Physical Properties of Unconventional Superconductors,"Takashi Yanagisawa, Hajime Shibata"
10.1007/978-3-642-24624-1_2,Non-centrosymmetric Heavy-Fermion Superconductors,"Noriaki Kimura, Ismardo Bonalde"
10.1007/978-3-642-24624-1_7,Kinetic Theory for Response and Transport in Non-centrosymmetric Superconductors,"Ludwig Klam, Dirk Manske, Dietrich Einzel"
10.1007/978-3-642-59689-6_3,Screening of a Point Charge: A Fixed-Node Diffusion Monte Carlo Study,"Erik Koch, Olle Gunnarsson, Richard M Martin"
10.1007/978-3-642-60041-8_19,Thermal Conductivity as a Probe of Quasi-Particles in the Cuprates,"N P Ong, K Krishana, Y Zhang, Z A Xu"
10.1007/978-3-662-05310-2_4,"Ferromagnetism in (III,Mn) V Semiconductors","Jürgen König, John Schliemann, Tomáš Jungwirth, Allan H Macdonald"
10.1007/978-3-662-07764-1_2,Application Fields of High-Temperature Superconductors,Roland Hott
10.1007/978-3-662-11044-7_10,Covariant Feynman Rules,"Michael D Scadron, B A Green"
10.1007/978-3-662-52732-0_8,Insulator-Superconductor Crossover in Single-Layer FeSe/SrTiO $$_3$$ 3 Films,"Yong Hu, Yu Xu, Yi-Min Zhang, Qing-Yan Wang, Shao-Long He, De-Fa Liu, Ai-Ji Liang, Jian-Wei Huang, Cong Li, Yong-Qing Cai, Ding-Song Wu, Guo-Dong Liu, Fang-Sen Li, Jia-Qi Fan, Guan-Yu Zhou, Lili Wang, Can-Li Song, Xu-Cun Ma, Qi-Kun Xue, Zu-Yan Xu, Lin Zhao, X J Zhou"
10.1007/978-4-431-54294-0_7,Nodeless Versus Nodal Order Parameters in LiFeAs and LiFeP,"Kenichiro Hashimoto, S Kasahara, R Katsumata, Y Mizukami, M Yamashita, H Ikeda, T Terashima, A Carrington, Y Matsuda, T Shibauchi"
